Date,Open,High,Low,Close,Adj Close,Volume
2015-12-31,118.82,119.18,117.940002,118.139999,112.394363,3723200
2016-01-04,117.25,117.730003,115.870003,117.580002,111.86161,9995000
2016-01-05,117.410004,119.230003,117.290001,119.199997,113.402809,6314000
2016-01-06,118.0,119.269997,117.809998,118.400002,112.641731,6543800
2016-01-07,117.440002,117.970001,115.589996,115.660004,110.034988,7477900
2016-01-08,115.75,117.470001,115.260002,115.480003,109.863731,6103400
2016-01-11,115.650002,117.059998,115.580002,116.690002,111.014893,6392400
2016-01-12,117.029999,117.739998,116.169998,117.440002,111.728409,5639700
2016-01-13,117.690002,117.870003,115.080002,115.120003,109.52124,6986000
2016-01-14,115.589996,117.129997,113.0,116.620003,110.948303,9204500
2016-01-15,114.260002,116.449997,114.209999,115.18,109.578323,10201900
2016-01-19,116.629997,117.709999,115.959999,117.5,111.7855,9195300
2016-01-20,116.970001,118.0,114.379997,115.779999,110.149139,11905200
2016-01-21,116.510002,118.440002,115.790001,117.839996,112.108955,9839100
2016-01-22,118.440002,118.75,117.370003,118.400002,112.641731,9016600
2016-01-25,121.849998,121.900002,118.199997,119.199997,113.402809,15141500
2016-01-26,119.599998,121.300003,119.0,120.43,114.572998,8275200
2016-01-27,120.879997,121.620003,119.830002,120.870003,114.9916,7409000
2016-01-28,121.099998,122.599998,120.199997,122.379997,116.428154,7460500
2016-01-29,122.769997,124.349998,122.75,123.779999,117.760063,10549900
2016-02-01,123.080002,124.830002,123.019997,124.610001,118.549706,6189900
2016-02-02,124.050003,124.339996,123.099998,123.949997,117.921799,7653000
2016-02-03,124.360001,124.580002,120.839996,121.470001,115.562416,9327000
2016-02-04,121.040001,121.239998,118.720001,120.660004,114.791817,7532100
2016-02-05,120.650002,120.650002,114.959999,115.400002,109.787628,13261700
2016-02-08,114.050003,116.360001,112.709999,116.050003,110.406021,11311500
2016-02-09,115.540001,117.800003,115.349998,117.010002,111.319321,7464600
2016-02-10,118.019997,118.529999,117.260002,117.540001,111.82354,5726300
2016-02-11,115.739998,117.5,115.690002,116.730003,111.052948,7568600
2016-02-12,116.720001,118.330002,116.099998,117.93,112.19458,8552800
2016-02-16,118.419998,119.18,117.599998,119.18,113.383797,10835800
2016-02-17,119.18,119.400002,116.720001,118.639999,112.870041,12729000
2016-02-18,118.809998,119.459999,116.93,117.169998,111.471542,9707100
2016-02-19,117.0,117.349998,115.809998,116.529999,110.862671,10793700
2016-02-22,116.529999,118.160004,116.529999,117.669998,111.947227,6223300
2016-02-23,117.349998,118.150002,116.849998,116.900002,111.214676,5276700
2016-02-24,116.32,117.330002,115.800003,117.059998,111.366882,5349800
2016-02-25,117.43,118.5,117.160004,118.370003,112.613174,6032100
2016-02-26,117.980003,118.269997,116.169998,117.059998,112.210571,5193700
2016-02-29,116.800003,118.370003,116.709999,117.190002,112.33519,6467700
2016-03-01,117.910004,119.190002,117.769997,118.849998,113.926422,4731500
2016-03-02,118.559998,118.730003,117.660004,118.480003,113.571747,4267700
2016-03-03,117.480003,117.480003,115.32,116.690002,111.855904,9123200
2016-03-04,116.720001,117.449997,115.900002,117.18,112.3256,5857400
2016-03-07,117.029999,117.57,116.120003,117.150002,112.296844,5640700
2016-03-08,116.209999,119.080002,116.209999,118.419998,113.514236,6236200
2016-03-09,119.239998,120.199997,118.459999,119.639999,114.683693,6428200
2016-03-10,119.910004,120.860001,118.660004,119.980003,115.009613,6171200
2016-03-11,120.489998,122.010002,120.360001,121.550003,116.514572,7042300
2016-03-14,121.809998,123.489998,121.449997,122.900002,117.808647,7912100
2016-03-15,122.300003,123.760002,122.209999,123.43,118.316696,5061400
2016-03-16,123.330002,124.059998,122.669998,123.519997,118.402954,6716700
2016-03-17,123.269997,123.849998,123.110001,123.160004,118.057877,6108700
2016-03-18,123.43,124.120003,122.75,124.080002,118.939751,14783800
2016-03-21,123.660004,124.5,123.050003,123.809998,118.680939,4050100
2016-03-22,123.790001,124.389999,123.559998,123.82,118.690529,3494500
2016-03-23,124.099998,125.0,123.860001,124.190002,119.045197,4143600
2016-03-24,123.690002,124.0,122.660004,123.290001,118.182487,5796700
2016-03-28,124.0,124.199997,123.120003,123.169998,118.067459,4784400
2016-03-29,123.43,124.57,123.339996,123.970001,118.83432,7175700
2016-03-30,124.900002,126.099998,124.599998,125.830002,120.617264,4853700
2016-03-31,126.150002,126.959999,125.610001,125.68,120.47348,7685900
2016-04-01,125.190002,127.389999,124.870003,127.019997,121.757957,5212400
2016-04-04,127.050003,127.870003,126.879997,127.57,122.285179,4239300
2016-04-05,126.839996,127.779999,126.389999,127.379997,122.10305,6282200
2016-04-06,127.470001,127.690002,126.839996,127.519997,122.237251,5617900
2016-04-07,127.370003,128.520004,127.019997,128.139999,122.831573,4720800
2016-04-08,128.279999,128.740005,127.279999,127.959999,122.659019,3625600
2016-04-11,128.350006,128.690002,127.449997,127.559998,122.275597,6973700
2016-04-12,128.080002,128.279999,126.889999,127.610001,122.323524,5188800
2016-04-13,127.709999,127.919998,126.080002,126.889999,121.633362,4985200
2016-04-14,127.139999,128.089996,127.040001,127.510002,122.227676,4802200
2016-04-15,127.080002,128.039993,126.959999,127.779999,122.486481,3103800
2016-04-18,127.779999,128.910004,127.68,128.850006,123.512161,4524200
2016-04-19,128.910004,129.350006,128.119995,128.860001,123.521736,4606300
2016-04-20,129.309998,129.800003,128.509995,128.550003,123.224586,5006700
2016-04-21,128.550003,128.75,125.599998,125.790001,120.578926,7947600
